Time (UTC),Streams & Downloads
"5/14/2025, 24:00:00",0
"5/15/2025, 24:00:00",0
"5/16/2025, 24:00:00",0
"5/17/2025, 24:00:00",0
"5/18/2025, 24:00:00",0
"5/19/2025, 24:00:00",0
"5/20/2025, 24:00:00",0
"5/21/2025, 24:00:00",0
"5/22/2025, 24:00:00",0
"5/23/2025, 24:00:00",0
"5/24/2025, 24:00:00",0
"5/25/2025, 24:00:00",0
"5/26/2025, 24:00:00",0
"5/27/2025, 24:00:00",0
"5/28/2025, 24:00:00",0
"5/29/2025, 24:00:00",0
"5/30/2025, 24:00:00",0
"5/31/2025, 24:00:00",0
"6/1/2025, 24:00:00",1
"6/2/2025, 24:00:00",0
"6/3/2025, 24:00:00",0
"6/4/2025, 24:00:00",0
"6/5/2025, 24:00:00",0
"6/6/2025, 24:00:00",0
"6/7/2025, 24:00:00",0
"6/8/2025, 24:00:00",1
"6/9/2025, 24:00:00",0
"6/10/2025, 24:00:00",1
"6/11/2025, 24:00:00",0
"6/12/2025, 24:00:00",0
